timestamp,symbol,bid,ask
2026-05-11T00:00:00+00:00,AUDUSD,0.7233500000,0.7233700000
2026-05-11T00:15:00+00:00,AUDUSD,0.7237600000,0.7237600000
2026-05-11T00:30:00+00:00,AUDUSD,0.7237800000,0.7237900000
2026-05-11T00:45:00+00:00,AUDUSD,0.7237900000,0.7238100000
2026-05-11T01:00:00+00:00,AUDUSD,0.7234300000,0.7234300000
2026-05-11T01:15:00+00:00,AUDUSD,0.7236000000,0.7236000000
2026-05-11T01:30:00+00:00,AUDUSD,0.7230200000,0.7230300000
2026-05-11T01:45:00+00:00,AUDUSD,0.7233600000,0.7233600000
2026-05-11T02:00:00+00:00,AUDUSD,0.7234500000,0.7234600000
2026-05-11T02:15:00+00:00,AUDUSD,0.7236500000,0.7236500000
2026-05-11T02:30:00+00:00,AUDUSD,0.7232500000,0.7232600000
2026-05-11T02:45:00+00:00,AUDUSD,0.7229900000,0.7230000000
2026-05-11T03:00:00+00:00,AUDUSD,0.7231400000,0.7231500000
2026-05-11T03:15:00+00:00,AUDUSD,0.7231600000,0.7231700000
2026-05-11T03:30:00+00:00,AUDUSD,0.7232500000,0.7232500000
2026-05-11T03:45:00+00:00,AUDUSD,0.7229200000,0.7229200000
2026-05-11T04:00:00+00:00,AUDUSD,0.7228100000,0.7228100000
2026-05-11T04:15:00+00:00,AUDUSD,0.7226100000,0.7226300000
2026-05-11T04:30:00+00:00,AUDUSD,0.7226000000,0.7226000000
2026-05-11T04:45:00+00:00,AUDUSD,0.7227100000,0.7227300000
2026-05-11T05:00:00+00:00,AUDUSD,0.7230900000,0.7231100000
2026-05-11T05:15:00+00:00,AUDUSD,0.7231200000,0.7231300000
2026-05-11T05:30:00+00:00,AUDUSD,0.7227500000,0.7227700000
2026-05-11T05:45:00+00:00,AUDUSD,0.7229600000,0.7229700000
2026-05-11T06:00:00+00:00,AUDUSD,0.7238200000,0.7238300000
2026-05-11T06:15:00+00:00,AUDUSD,0.7237600000,0.7237700000
