timestamp,symbol,bid,ask
2026-05-11T00:00:00+00:00,EURUSD,1.1768200000,1.1768200000
2026-05-11T00:15:00+00:00,EURUSD,1.1770600000,1.1770700000
2026-05-11T00:30:00+00:00,EURUSD,1.1769500000,1.1769600000
2026-05-11T00:45:00+00:00,EURUSD,1.1769900000,1.1770000000
2026-05-11T01:00:00+00:00,EURUSD,1.1767900000,1.1768000000
2026-05-11T01:15:00+00:00,EURUSD,1.1769000000,1.1769100000
2026-05-11T01:30:00+00:00,EURUSD,1.1765100000,1.1765100000
2026-05-11T01:45:00+00:00,EURUSD,1.1762900000,1.1763000000
2026-05-11T02:00:00+00:00,EURUSD,1.1764000000,1.1764000000
2026-05-11T02:15:00+00:00,EURUSD,1.1765300000,1.1765300000
2026-05-11T02:30:00+00:00,EURUSD,1.1761800000,1.1762000000
2026-05-11T02:45:00+00:00,EURUSD,1.1759200000,1.1759300000
2026-05-11T03:00:00+00:00,EURUSD,1.1759000000,1.1759000000
2026-05-11T03:15:00+00:00,EURUSD,1.1757300000,1.1757300000
2026-05-11T03:30:00+00:00,EURUSD,1.1758800000,1.1758900000
2026-05-11T03:45:00+00:00,EURUSD,1.1756500000,1.1756800000
2026-05-11T04:00:00+00:00,EURUSD,1.1755500000,1.1755600000
2026-05-11T04:15:00+00:00,EURUSD,1.1754400000,1.1754500000
2026-05-11T04:30:00+00:00,EURUSD,1.1752400000,1.1752500000
2026-05-11T04:45:00+00:00,EURUSD,1.1750500000,1.1750700000
2026-05-11T05:00:00+00:00,EURUSD,1.1754000000,1.1754100000
2026-05-11T05:15:00+00:00,EURUSD,1.1752400000,1.1752600000
2026-05-11T05:30:00+00:00,EURUSD,1.1751000000,1.1751100000
2026-05-11T05:45:00+00:00,EURUSD,1.1750000000,1.1750100000
2026-05-11T06:00:00+00:00,EURUSD,1.1757400000,1.1757500000
2026-05-11T06:15:00+00:00,EURUSD,1.1759100000,1.1759100000
2026-05-11T06:30:00+00:00,EURUSD,1.1761900000,1.1762000000
2026-05-11T06:45:00+00:00,EURUSD,1.1767600000,1.1767600000
2026-05-11T07:00:00+00:00,EURUSD,1.1767400000,1.1767400000
2026-05-11T07:15:00+00:00,EURUSD,1.1771300000,1.1771400000
2026-05-11T07:30:00+00:00,EURUSD,1.1771100000,1.1771200000
2026-05-11T07:45:00+00:00,EURUSD,1.1772000000,1.1772100000
2026-05-11T08:00:00+00:00,EURUSD,1.1775900000,1.1775900000
2026-05-11T08:15:00+00:00,EURUSD,1.1779800000,1.1779900000
2026-05-11T08:30:00+00:00,EURUSD,1.1775400000,1.1775500000
2026-05-11T08:45:00+00:00,EURUSD,1.1771500000,1.1771500000
2026-05-11T09:00:00+00:00,EURUSD,1.1773300000,1.1773300000
2026-05-11T09:15:00+00:00,EURUSD,1.1771000000,1.1771100000
2026-05-11T09:30:00+00:00,EURUSD,1.1770500000,1.1770500000
2026-05-11T09:45:00+00:00,EURUSD,1.1767400000,1.1767500000
2026-05-11T10:00:00+00:00,EURUSD,1.1767300000,1.1767400000
2026-05-11T10:15:00+00:00,EURUSD,1.1767900000,1.1768000000
2026-05-11T10:30:00+00:00,EURUSD,1.1771500000,1.1771600000
2026-05-11T10:45:00+00:00,EURUSD,1.1769100000,1.1769100000
2026-05-11T11:00:00+00:00,EURUSD,1.1773600000,1.1773600000
2026-05-11T11:15:00+00:00,EURUSD,1.1774100000,1.1774100000
2026-05-11T11:30:00+00:00,EURUSD,1.1772400000,1.1772400000
2026-05-11T11:45:00+00:00,EURUSD,1.1768400000,1.1768400000
2026-05-11T12:00:00+00:00,EURUSD,1.1766800000,1.1766900000
2026-05-11T12:15:00+00:00,EURUSD,1.1771800000,1.1771900000
2026-05-11T12:30:00+00:00,EURUSD,1.1773000000,1.1773000000
